,A,Prob
186,0,0.7396330235826573
423,0,0.0791931264262983
369,1,0.7128013946731265
283,1,0.8384282510344232
266,1,0.7892401993222177
1,0,0.05098996266358658
204,1,0.3202995704786281
30,1,0.9117586127835027
71,1,0.04763318399658742
363,1,0.8669248025449933
121,1,0.9394016191777333
329,0,0.8099580792244508
162,0,0.01356265761926061
249,0,0.4929840695974144
335,1,0.9522862490166234
103,0,0.25548355338178835
309,0,0.8853967470087913
349,1,0.6606470689951244
119,0,0.25852400070722786
477,0,0.7128263345771398
370,0,0.06596900974187192
439,0,0.7852641257466493
195,1,0.8273917740581381
20,0,0.4505458426356525
292,1,0.7193253941131654
70,0,0.014456836021510046
232,0,0.029613365093200984
21,0,0.05407148335142906
43,0,0.2985967732111946
68,0,0.12158263308442228
324,1,0.10943586632462003
88,1,0.952883392811427
59,1,0.34107713891029895
301,1,0.16789968288578594
393,1,0.7441555607174382
23,1,0.4825323423335676
139,1,0.9231726122981767
401,1,0.7870326119140529
199,1,0.6615822976538539
351,1,0.8421579158301471
140,0,0.02624048575178054
279,0,0.3558042400513964
161,0,0.12047654290769155
307,1,0.9116596830545982
311,1,0.9751029493574291
153,1,0.46692773596205656
316,1,0.9327294911174173
339,0,0.7342452647803583
394,1,0.1877444381644935
437,1,0.9431297020876539
117,1,0.9552594071088398
196,1,0.186368755410368
268,0,0.35370554998073583
471,0,0.16905219500172966
61,1,0.9371907617418975
354,1,0.16331285994664843
312,0,0.04776143405989216
125,0,0.18817539274424572
256,1,0.2582884828278679
175,0,0.05893017287190469
80,0,0.3989118710640955
436,1,0.5135176470732357
476,1,0.6003092457109387
415,1,0.9914217345882936
465,1,0.9763550696030014
245,0,0.4216256691158545
158,0,0.2922495877607031
132,0,0.056841042885584885
404,0,0.0903472127907603
200,0,0.36895894072609703
294,1,0.8810145828083736
464,0,0.10588529633978228
280,1,0.952883392811427
392,0,0.04890995302856523
224,1,0.5921203858743711
87,1,0.3516402577546144
234,1,0.8932031371824871
110,1,0.7365550241605703
155,1,0.8311354434211217
306,0,0.23828161201616513
440,0,0.0862004490610826
60,0,0.11441096648332898
109,1,0.10207583551989408
421,1,0.03755047682583935
240,1,0.9745535761913398
454,1,0.9701915066633734
100,0,0.9254659953877991
120,1,0.029835316747757662
326,1,0.5065723683564556
16,1,0.9245488847401417
298,1,0.8216535699889821
253,0,0.21206070278028608
429,0,0.38037047948016955
286,0,0.0173453725812351
411,1,0.7390889159751043
390,1,0.84150917357905
222,1,0.8918051280485055
288,0,0.566319005678815
290,0,0.6195296453240438
213,1,0.8918167601448388
32,1,0.8701123491141629
364,1,0.8826862365800783
386,1,0.8772569188704249
83,1,0.6124131252717151
452,0,0.05414685654768778
308,0,0.028057126637815975
375,0,0.35766413829334254
24,0,0.03528319754127081
142,0,0.027273219802335536
491,0,0.5911118371657154
275,0,0.025606924315534147
122,0,0.026924659048842517
281,0,0.06286383349377275
136,1,0.7219869037773994
263,1,0.9402326917929548
344,1,0.5158795673285641
487,0,0.2411836603507076
333,0,0.6051214164850266
277,1,0.12188450686475531
62,0,0.066052293316973
472,1,0.45485572685185366
276,0,0.38349140454153485
5,0,0.11812420267103087
179,0,0.33162105110443263
96,0,0.043398521074479515
185,1,0.9643001352651969
145,0,0.16677037983665738
435,0,0.26106639955942357
67,1,0.5267164430812242
304,0,0.013921005044776684
291,1,0.9748793928251389
218,0,0.40559440145826775
285,1,0.9061889613344701
78,1,0.18155182373242398
65,0,0.8539056965620073
457,0,0.7640333454163015
2,1,0.9061786039672693
237,0,0.13609125347942572
395,1,0.954632476479701
101,1,0.7352982814092571
430,1,0.5362561840780463
146,0,0.32032609445169596
19,1,0.11203962690566455
27,1,0.9257450510796245
293,0,0.8770982578634926
156,1,0.8505760799479835
54,0,0.18001196920918247
322,0,0.37694210463709815
314,0,0.04047241009917225
296,0,0.10207583551989408
